DATA MISURA;PRES. SUPERAM.;PARAMETRO;UNITA' MISURA;UBICAZIONE;LONGITUDINE;LATITUDINE;RETE;MEDIA GIORNALIERA;DATI INSUFF.;ATTIVO DAL;ATTIVO FINO AL;PARAM. ABBREV.;UBICAZ. ATT. DAL;UBICAZ. ATT. FINO AL
2005 March 30;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;31.17622;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 31;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.11803;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;52.46235;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;62.55596;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;49.45054;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.40455;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;60.68375;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;57.95685;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;49.97964;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;41.14773;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;12.86121;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;10.74481;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;15.62881;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;16.52421;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;34.75783;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;36.14163;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;31.66463;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;27.67602;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;9.80871;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.39072;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;27.51322;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;9.19821;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;17.50101;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;28.97842;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;37.24053;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;24.42002;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;8.75051;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;19.16971;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;34.26943;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.52503;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 29;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;27.63532;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 April 30;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;27.63532;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;24.54212;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.40292;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;38.90923;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.43142;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;12.21001;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;17.25681;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;16.15791;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 May 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;12.21001;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
